genre,season,rank_g,sex,song_type,runtime,active_type,top_freq,gg_score,nv_score,total_view,you_rank_g,season_genre_score,previous_ranking,pd_score,dc_total_numb,dc_mean_reccomend,dc_mean_views,drama_view
댄스,summer,4,female,K_POP,203,Group,24,80.0,100.0,8730000,2,-0.09381185713619708,4.0,5.6,0.0,0.0,0.0,0.0
댄스,summer,2,female,K_POP,203,Group,24,60.0,30.3,0,10,-0.09381185713619708,2.0,3.9,0.0,0.0,0.0,0.0
댄스,winter,10,female,K_POP,203,Group,24,25.0,7.3,0,10,0.11125280084544092,10.0,3.8,0.0,0.0,0.0,0.0
댄스,summer,2,female,K_POP,203,Group,24,20.0,9.2,0,10,-0.09381185713619708,2.0,3.4,0.0,0.0,0.0,0.0
댄스,fall,8,female,K_POP,203,Group,24,46.0,8.7,4390000,4,-0.02012095737426365,7.0,3.2,0.0,0.0,0.0,0.0
댄스,spring,2,female,K_POP,203,Group,24,23.0,38.1,0,10,0.012953573202576884,2.0,3.9,0.0,0.0,0.0,0.0
댄스,summer,2,female,K_POP,203,Group,24,20.0,12.0,0,10,-0.09381185713619708,2.0,3.1,0.0,0.0,0.0,0.0
댄스,fall,7,female,K_POP,203,Group,24,58.0,11.1,4310000,4,-0.02012095737426365,6.0,2.4,0.0,0.0,0.0,0.0
댄스,fall,6,female,K_POP,203,Group,24,66.0,24.4,5580000,3,-0.02012095737426365,6.0,2.3,0.0,0.0,0.0,0.0
댄스,spring,4,female,K_POP,203,Group,24,59.0,64.3,19600000,1,0.012953573202576884,10,2.9,0.0,0.0,0.0,0.0
댄스,summer,5,female,K_POP,203,Group,24,88.0,65.2,6760000,2,-0.09381185713619708,4.0,2.6,0.0,0.0,0.0,0.0
댄스,summer,6,female,K_POP,203,Group,24,62.0,31.8,5620000,3,-0.09381185713619708,5.0,2.3,0.0,0.0,0.0,0.0
댄스,summer,4,female,K_POP,203,Group,24,26.0,30.4,8410000,2,-0.09381185713619708,3.0,12.4,0.0,0.0,0.0,0.0
댄스,summer,2,female,K_POP,203,Group,24,46.0,19.2,0,10,-0.09381185713619708,2.0,4.7,0.0,0.0,0.0,0.0
댄스,summer,3,female,K_POP,203,Group,24,20.0,7.0,8300000,2,-0.09381185713619708,3.0,3.1,0.0,0.0,0.0,0.0
댄스,fall,10,female,K_POP,203,Group,24,35.0,8.5,4070000,4,-0.02012095737426365,8.0,9.1,0.0,0.0,0.0,0.0
댄스,spring,2,female,K_POP,203,Group,24,59.0,34.9,0,10,0.012953573202576884,4.0,2.7,0.0,0.0,0.0,0.0
댄스,summer,2,female,K_POP,203,Group,24,37.0,12.1,0,10,-0.09381185713619708,2.0,4.4,0.0,0.0,0.0,0.0
댄스,summer,3,female,K_POP,203,Group,24,41.0,7.0,10500000,2,-0.09381185713619708,3.0,2.9,0.0,0.0,0.0,0.0
댄스,summer,4,female,K_POP,203,Group,24,19.0,14.2,10000000,2,-0.09381185713619708,4.0,3.2,0.0,0.0,0.0,0.0
댄스,fall,6,female,K_POP,203,Group,24,53.0,27.4,4640000,3,-0.02012095737426365,6.0,2.8,0.0,0.0,0.0,0.0
댄스,summer,3,female,K_POP,203,Group,24,30.0,7.9,11100000,1,-0.09381185713619708,2.0,2.1,0.0,0.0,0.0,0.0
댄스,fall,7,female,K_POP,203,Group,24,25.0,14.5,3900000,4,-0.02012095737426365,7.0,100.0,0.0,0.0,0.0,0.0
댄스,spring,2,female,K_POP,203,Group,24,40.0,23.2,0,10,0.012953573202576884,2.0,4.6,0.0,0.0,0.0,0.0
전체,winter,7,female,K_POP,211,Group,26,45.0,2.3,6050000,1,0.02199335009326097,6.0,1.6,0.0,0.0,0.0,0.0
전체,winter,6,female,K_POP,211,Group,26,53.0,2.5,6600000,2,0.02199335009326097,5.0,2.0,0.0,0.0,0.0,0.0
전체,spring,10,female,K_POP,211,Group,26,44.0,3.3,0,10,-0.08790628609140408,10.0,2.2,0.0,0.0,0.0,0.0
전체,winter,10,female,K_POP,211,Group,26,43.0,3.1,3600000,4,0.02199335009326097,10.0,3.7,0.0,0.0,0.0,0.0
전체,winter,9,female,K_POP,211,Group,26,51.0,2.3,4790000,3,0.02199335009326097,8.0,8.2,0.0,0.0,0.0,0.0
전체,spring,10,female,K_POP,211,Group,26,65.0,8.2,3890000,4,-0.08790628609140408,10.0,0.8,0.0,0.0,0.0,0.0
전체,winter,7,female,K_POP,211,Group,26,85.0,3.3,5070000,3,0.02199335009326097,7.0,1.6,0.0,0.0,0.0,0.0
전체,fall,3,female,K_POP,211,Group,26,79.0,5.2,15300000,1,-0.0075757575757575205,2.0,4.9,0.0,0.0,0.0,0.0
전체,winter,5,female,K_POP,211,Group,26,64.0,3.5,7550000,2,0.02199335009326097,4.0,1.5,0.0,0.0,0.0,0.0
전체,spring,10,female,K_POP,211,Group,26,38.0,2.2,3010000,5,-0.08790628609140408,10.0,0.7,0.0,0.0,0.0,0.0
전체,winter,7,female,K_POP,211,Group,26,74.0,3.3,5450000,2,0.02199335009326097,6.0,3.5,0.0,0.0,0.0,0.0
전체,spring,10,female,K_POP,211,Group,26,60.0,3.5,3400000,5,-0.08790628609140408,10.0,3.0,0.0,0.0,0.0,0.0
전체,winter,8,female,K_POP,211,Group,26,61.0,2.2,4980000,2,0.02199335009326097,7.0,13.9,0.0,0.0,0.0,0.0
전체,fall,4,female,K_POP,211,Group,26,60.0,3.7,9480000,1,-0.0075757575757575205,3.0,6.1,0.0,0.0,0.0,0.0
전체,winter,7,female,K_POP,211,Group,26,60.0,2.9,4880000,2,0.02199335009326097,7.0,13.6,0.0,0.0,0.0,0.0
전체,spring,10,female,K_POP,211,Group,26,41.0,2.5,3060000,5,-0.08790628609140408,10.0,8.7,0.0,0.0,0.0,0.0
전체,fall,3,female,K_POP,211,Group,26,55.0,4.3,13300000,1,-0.0075757575757575205,3.0,5.0,0.0,0.0,0.0,0.0
전체,winter,6,female,K_POP,211,Group,26,58.0,5.5,6070000,1,0.02199335009326097,6.0,8.2,0.0,0.0,0.0,0.0
전체,spring,10,female,K_POP,211,Group,26,70.0,7.3,0,10,-0.08790628609140408,10.0,10.4,0.0,0.0,0.0,0.0
전체,winter,6,female,K_POP,211,Group,26,37.0,1.8,5910000,2,0.02199335009326097,6.0,4.0,0.0,0.0,0.0,0.0
전체,fall,2,female,K_POP,211,Group,26,97.0,9.2,12600000,1,-0.0075757575757575205,10.0,6.5,0.0,0.0,0.0,0.0
전체,spring,10,female,K_POP,211,Group,26,78.0,12.4,4910000,3,-0.08790628609140408,10.0,4.9,0.0,0.0,0.0,0.0
전체,fall,10,female,K_POP,211,Group,26,57.0,9.3,20500000,1,-0.0075757575757575205,10,9.7,0.0,0.0,0.0,0.0
전체,winter,10,female,K_POP,211,Group,26,59.0,3.4,4390000,3,0.02199335009326097,9.0,6.0,0.0,0.0,0.0,0.0
전체,winter,6,female,K_POP,211,Group,26,59.0,4.9,7540000,1,0.02199335009326097,7.0,0.0,0.0,0.0,0.0,0.0
전체,spring,10,female,K_POP,211,Group,26,40.0,4.8,5010000,3,-0.08790628609140408,10.0,0.0,0.0,0.0,0.0,0.0
댄스,spring,2,female,K_POP,196,Group,3,78.0,12.4,16600000,1,0.012953573202576884,10,4.1,0.0,0.0,0.0,0.0
댄스,spring,2,female,K_POP,196,Group,3,65.0,8.2,13200000,1,0.012953573202576884,2.0,3.0,0.0,0.0,0.0,0.0
댄스,spring,3,female,K_POP,196,Group,3,70.0,7.3,0,10,0.012953573202576884,2.0,3.1,0.0,0.0,0.0,0.0
댄스,spring,6,female,K_POP,198,Group,14,7.0,1.8,7500000,2,0.012953573202576884,5.0,3.4,0.0,0.0,0.0,0.0
댄스,spring,10,female,K_POP,198,Group,14,34.0,1.5,3700000,3,0.012953573202576884,10.0,2.5,0.0,0.0,0.0,0.0
댄스,spring,3,female,K_POP,198,Group,14,53.0,3.9,15100000,1,0.012953573202576884,2.0,3.6,0.0,0.0,0.0,0.0
댄스,spring,9,female,K_POP,198,Group,14,17.0,1.9,4640000,3,0.012953573202576884,8.0,2.2,0.0,0.0,0.0,0.0
댄스,spring,10,female,K_POP,198,Group,14,13.0,2.0,4620000,3,0.012953573202576884,10.0,2.0,0.0,0.0,0.0,0.0
댄스,winter,3,female,K_POP,198,Group,14,100.0,9.4,20900000,1,0.11125280084544092,10,1.7,0.0,0.0,0.0,0.0
댄스,spring,5,female,K_POP,198,Group,14,30.0,1.7,9260000,1,0.012953573202576884,4.0,1.5,0.0,0.0,0.0,0.0
댄스,spring,10,female,K_POP,198,Group,14,23.0,1.8,4140000,3,0.012953573202576884,9.0,1.8,0.0,0.0,0.0,0.0
댄스,spring,10,female,K_POP,198,Group,14,10.0,0.8,3020000,5,0.012953573202576884,10.0,1.4,0.0,0.0,0.0,0.0
댄스,spring,10,female,K_POP,198,Group,14,20.0,1.5,3890000,3,0.012953573202576884,10.0,1.3,0.0,0.0,0.0,0.0
댄스,spring,2,female,K_POP,198,Group,14,21.0,4.1,14200000,1,0.012953573202576884,3.0,1.3,0.0,0.0,0.0,0.0
댄스,spring,10,female,K_POP,198,Group,14,26.0,1.6,3710000,4,0.012953573202576884,10.0,1.6,0.0,0.0,0.0,0.0
댄스,spring,8,female,K_POP,198,Group,14,30.0,2.0,5640000,2,0.012953573202576884,6.0,1.4,0.0,0.0,0.0,0.0
댄스,spring,4,female,K_POP,198,Group,14,37.0,2.1,14700000,1,0.012953573202576884,3.0,1.3,0.0,0.0,0.0,0.0
랩/힙합,fall,10,female,K_POP,207,Group,16,44.0,6.7,4890000,3,-0.0005010897055867971,10.0,1.8,0.0,0.0,0.0,0.0
랩/힙합,summer,4,female,K_POP,207,Group,16,56.0,2.1,15100000,1,0.04924641385274692,7.0,1.5,0.0,0.0,0.0,0.0
랩/힙합,summer,9,female,K_POP,207,Group,16,10.0,1.6,5820000,3,0.04924641385274692,8.0,1.4,0.0,0.0,0.0,0.0
랩/힙합,summer,7,female,K_POP,207,Group,16,52.0,3.2,1200000,1,0.04924641385274692,10,2.1,0.0,0.0,0.0,0.0
랩/힙합,summer,7,female,K_POP,207,Group,16,18.0,1.3,7010000,2,0.04924641385274692,6.0,2.8,0.0,0.0,0.0,0.0
랩/힙합,summer,7,female,K_POP,207,Group,16,31.0,1.2,5960000,2,0.04924641385274692,7.0,1.8,0.0,0.0,0.0,0.0
랩/힙합,fall,10,female,K_POP,207,Group,16,44.0,6.5,5790000,3,-0.0005010897055867971,10.0,1.9,0.0,0.0,0.0,0.0
랩/힙합,fall,10,female,K_POP,207,Group,16,50.0,7.4,5080000,3,-0.0005010897055867971,10.0,1.4,0.0,0.0,0.0,0.0
랩/힙합,summer,8,female,K_POP,207,Group,16,27.0,1.1,5230000,2,0.04924641385274692,7.0,1.7,0.0,0.0,0.0,0.0
랩/힙합,fall,10,female,K_POP,207,Group,16,41.0,7.3,4370000,3,-0.0005010897055867971,10.0,1.4,0.0,0.0,0.0,0.0
랩/힙합,summer,4,female,K_POP,207,Group,16,46.0,1.6,12300000,1,0.04924641385274692,4.0,1.7,0.0,0.0,0.0,0.0
랩/힙합,summer,6,female,K_POP,207,Group,16,35.0,1.3,8980000,2,0.04924641385274692,5.0,1.5,0.0,0.0,0.0,0.0
랩/힙합,summer,5,female,K_POP,207,Group,16,47.0,1.5,10700000,2,0.04924641385274692,4.0,1.8,0.0,0.0,0.0,0.0
랩/힙합,fall,10,female,K_POP,207,Group,16,35.0,3.4,4000000,3,-0.0005010897055867971,10.0,1.5,0.0,0.0,0.0,0.0
랩/힙합,summer,10,female,K_POP,207,Group,16,19.0,2.8,4860000,3,0.04924641385274692,9.0,1.4,0.0,0.0,0.0,0.0
랩/힙합,fall,10,female,K_POP,207,Group,16,59.0,6.5,4920000,3,-0.0005010897055867971,10.0,1.2,0.0,0.0,0.0,0.0
전체,fall,10,female,K_POP,257,Group,1,41.0,7.1,0,10,-0.0075757575757575205,10,2.5,0.0,0.0,0.0,0.0
댄스,winter,10,female,K_POP,206,Group,26,26.0,2.2,0,10,0.11125280084544092,10.0,2.8,0.0,0.0,0.0,0.0
댄스,summer,1,female,K_POP,206,Group,26,88.0,65.2,0,10,-0.09381185713619708,2.0,4.6,0.0,0.0,0.0,0.0
댄스,fall,8,female,K_POP,206,Group,26,37.0,7.8,0,10,-0.02012095737426365,7.0,100.0,0.0,0.0,0.0,0.0
댄스,fall,1,female,K_POP,206,Group,26,66.0,24.4,0,10,-0.02012095737426365,1.0,9.1,0.0,0.0,0.0,0.0
댄스,spring,10,female,K_POP,206,Group,26,53.0,3.9,0,10,0.012953573202576884,10.0,2.7,0.0,0.0,0.0,0.0
댄스,fall,10,female,K_POP,206,Group,26,43.0,4.6,0,10,-0.02012095737426365,8.0,4.4,0.0,0.0,0.0,0.0
댄스,winter,10,female,K_POP,206,Group,26,22.0,1.9,0,10,0.11125280084544092,10.0,2.9,0.0,0.0,0.0,0.0
댄스,winter,10,female,K_POP,206,Group,26,14.0,1.4,0,10,0.11125280084544092,10.0,3.2,0.0,0.0,0.0,0.0
댄스,fall,3,female,K_POP,206,Group,26,46.0,8.7,0,10,-0.02012095737426365,2.0,12.9,0.0,0.0,0.0,0.0
댄스,summer,1,female,K_POP,206,Group,26,62.0,31.8,0,10,-0.09381185713619708,1.0,2.0,0.0,0.0,0.0,0.0
댄스,winter,10,female,K_POP,206,Group,26,21.0,1.5,0,10,0.11125280084544092,10.0,1.9,0.0,0.0,0.0,0.0
댄스,fall,6,female,K_POP,206,Group,26,28.0,9.7,0,10,-0.02012095737426365,5.0,2.5,0.0,0.0,0.0,0.0
댄스,fall,2,female,K_POP,206,Group,26,53.0,27.4,0,10,-0.02012095737426365,1.0,3.6,0.0,0.0,0.0,0.0
댄스,winter,10,female,K_POP,206,Group,26,17.0,1.8,0,10,0.11125280084544092,10.0,2.8,0.0,0.0,0.0,0.0
댄스,fall,5,female,K_POP,206,Group,26,27.0,5.6,0,10,-0.02012095737426365,5.0,2.1,0.0,0.0,0.0,0.0
댄스,summer,2,female,K_POP,206,Group,26,80.0,100.0,0,10,-0.09381185713619708,10,3.1,0.0,0.0,0.0,0.0
댄스,winter,10,female,K_POP,206,Group,26,17.0,2.0,0,10,0.11125280084544092,10.0,1.8,0.0,0.0,0.0,0.0
댄스,fall,3,female,K_POP,206,Group,26,35.0,8.5,0,10,-0.02012095737426365,3.0,3.4,0.0,0.0,0.0,0.0
댄스,fall,2,female,K_POP,206,Group,26,25.0,14.5,0,10,-0.02012095737426365,2.0,2.7,0.0,0.0,0.0,0.0
댄스,fall,7,female,K_POP,206,Group,26,75.0,18.7,0,10,-0.02012095737426365,6.0,2.6,0.0,0.0,0.0,0.0
댄스,winter,10,female,K_POP,206,Group,26,25.0,7.3,0,10,0.11125280084544092,10.0,1.9,0.0,0.0,0.0,0.0
댄스,spring,10,female,K_POP,206,Group,26,21.0,4.1,0,10,0.012953573202576884,10.0,2.7,0.0,0.0,0.0,0.0
댄스,fall,2,female,K_POP,206,Group,26,58.0,11.1,0,10,-0.02012095737426365,2.0,3.0,0.0,0.0,0.0,0.0
댄스,winter,10,female,K_POP,206,Group,26,23.0,2.7,0,10,0.11125280084544092,10.0,3.4,0.0,0.0,0.0,0.0
댄스,winter,10,female,K_POP,206,Group,26,100.0,9.4,0,10,0.11125280084544092,10.0,2.5,0.0,0.0,0.0,0.0
댄스,fall,5,female,K_POP,206,Group,26,21.0,8.8,0,10,-0.02012095737426365,3.0,3.6,0.0,0.0,0.0,0.0
드라마,fall,6,male,OST,237,Solo,5,41.0,7.2,1570000,9,-0.10744855891637953,4.0,27.1,0.0,0.0,0.0,0.0
드라마,fall,8,male,OST,237,Solo,5,62.0,5.3,2290000,7,-0.10744855891637953,7.0,30.6,0.0,0.0,0.0,0.0
드라마,fall,9,male,OST,237,Solo,5,46.0,5.5,1750000,9,-0.10744855891637953,8.0,34.7,0.0,0.0,0.0,0.0
드라마,fall,4,male,OST,237,Solo,5,100.0,8.0,1900000,8,-0.10744855891637953,10,27.4,0.0,0.0,0.0,0.0
드라마,fall,7,male,OST,237,Solo,5,44.0,7.5,1930000,7,-0.10744855891637953,6.0,31.6,0.0,0.0,0.0,0.0
인디,spring,10,male,K_POP,207,Solo,1,37.0,9.7,0,10,-0.013079332968067328,10,26.0,0.0,0.0,0.0,0.0
인디,spring,4,male,K_POP,231,Solo,21,30.0,6.1,0,10,-0.013079332968067328,3.0,56.6,0.0,0.0,0.0,0.0
인디,summer,10,male,K_POP,231,Solo,21,47.0,3.4,0,10,-0.021088710800153197,10.0,31.3,0.0,0.0,0.0,0.0
인디,spring,8,male,K_POP,231,Solo,21,29.0,7.0,0,10,-0.013079332968067328,7.0,26.0,0.0,0.0,0.0,0.0
인디,spring,1,male,K_POP,231,Solo,21,50.0,6.6,0,10,-0.013079332968067328,2.0,41.4,0.0,0.0,0.0,0.0
인디,spring,2,male,K_POP,231,Solo,21,37.0,9.7,0,10,-0.013079332968067328,10,23.6,0.0,0.0,0.0,0.0
인디,spring,9,male,K_POP,231,Solo,21,46.0,6.9,0,10,-0.013079332968067328,8.0,33.2,0.0,0.0,0.0,0.0
인디,spring,3,male,K_POP,231,Solo,21,24.0,5.6,0,10,-0.013079332968067328,3.0,37.8,0.0,0.0,0.0,0.0
인디,summer,10,male,K_POP,231,Solo,21,17.0,3.3,0,10,-0.021088710800153197,10.0,32.5,0.0,0.0,0.0,0.0
인디,summer,10,male,K_POP,231,Solo,21,25.0,4.5,0,10,-0.021088710800153197,9.0,36.3,0.0,0.0,0.0,0.0
인디,spring,6,male,K_POP,231,Solo,21,32.0,4.4,0,10,-0.013079332968067328,4.0,25.5,0.0,0.0,0.0,0.0
인디,spring,9,male,K_POP,231,Solo,21,49.0,5.2,0,10,-0.013079332968067328,9.0,27.0,0.0,0.0,0.0,0.0
인디,spring,7,male,K_POP,231,Solo,21,24.0,5.3,0,10,-0.013079332968067328,6.0,39.6,0.0,0.0,0.0,0.0
인디,summer,10,male,K_POP,231,Solo,21,23.0,5.3,0,10,-0.021088710800153197,10.0,25.3,0.0,0.0,0.0,0.0
인디,spring,2,male,K_POP,231,Solo,21,33.0,6.3,0,10,-0.013079332968067328,1.0,29.1,0.0,0.0,0.0,0.0
인디,spring,7,male,K_POP,231,Solo,21,18.0,7.4,0,10,-0.013079332968067328,7.0,31.4,0.0,0.0,0.0,0.0
인디,summer,10,male,K_POP,231,Solo,21,26.0,4.1,0,10,-0.021088710800153197,10.0,41.0,0.0,0.0,0.0,0.0
인디,summer,10,male,K_POP,231,Solo,21,27.0,4.9,0,10,-0.021088710800153197,10.0,29.4,0.0,0.0,0.0,0.0
인디,spring,6,male,K_POP,231,Solo,21,24.0,4.0,0,10,-0.013079332968067328,6.0,32.8,0.0,0.0,0.0,0.0
인디,summer,10,male,K_POP,231,Solo,21,35.0,4.0,0,10,-0.021088710800153197,10.0,26.9,0.0,0.0,0.0,0.0
인디,spring,3,male,K_POP,231,Solo,21,54.0,6.0,0,10,-0.013079332968067328,2.0,26.9,0.0,0.0,0.0,0.0
인디,summer,10,male,K_POP,231,Solo,21,40.0,5.9,0,10,-0.021088710800153197,10.0,29.8,0.0,0.0,0.0,0.0
드라마,fall,4,male,OST,211,Solo,41,25.0,6.7,0,10,-0.10744855891637953,3.0,4.3,0.0,0.0,0.0,0.0
드라마,spring,10,male,OST,211,Solo,41,32.0,6.4,0,10,0.054730459108946417,10.0,4.9,0.0,0.0,0.0,0.0
드라마,summer,2,male,OST,211,Solo,41,38.0,33.8,0,10,-0.08588951554332135,2.0,24.6,0.0,0.0,0.0,0.0
드라마,fall,2,male,OST,211,Solo,41,53.0,11.3,0,10,-0.10744855891637953,2.0,5.1,0.0,0.0,0.0,0.0
드라마,spring,10,male,OST,211,Solo,41,24.0,5.9,0,10,0.054730459108946417,10.0,13.0,0.0,0.0,0.0,0.0
드라마,fall,3,male,OST,211,Solo,41,27.0,7.8,0,10,-0.10744855891637953,2.0,6.2,0.0,0.0,0.0,0.0
드라마,spring,10,male,OST,211,Solo,41,31.0,5.3,0,10,0.054730459108946417,10.0,8.8,0.0,0.0,0.0,0.0
드라마,fall,6,male,OST,211,Solo,41,35.0,3.8,0,10,-0.10744855891637953,5.0,73.3,0.0,0.0,0.0,0.0
드라마,spring,10,male,OST,211,Solo,41,32.0,5.0,0,10,0.054730459108946417,10.0,27.2,0.0,0.0,0.0,0.0
드라마,winter,8,male,OST,211,Solo,41,42.0,3.9,0,10,0.07740049748508306,7.0,21.3,0.0,0.0,0.0,0.0
드라마,spring,10,male,OST,211,Solo,41,27.0,5.2,0,10,0.054730459108946417,10.0,7.0,0.0,0.0,0.0,0.0
드라마,winter,8,male,OST,211,Solo,41,13.0,6.5,0,10,0.07740049748508306,8.0,12.0,0.0,0.0,0.0,0.0
드라마,fall,4,male,OST,211,Solo,41,30.0,5.1,0,10,-0.10744855891637953,4.0,4.8,0.0,0.0,0.0,0.0
드라마,winter,8,male,OST,211,Solo,41,26.0,8.7,0,10,0.07740049748508306,8.0,28.1,0.0,0.0,0.0,0.0
드라마,fall,3,male,OST,211,Solo,41,25.0,8.8,0,10,-0.10744855891637953,3.0,15.3,0.0,0.0,0.0,0.0
드라마,fall,3,male,OST,211,Solo,41,42.0,8.3,0,10,-0.10744855891637953,3.0,5.8,0.0,0.0,0.0,0.0
드라마,winter,8,male,OST,211,Solo,41,15.0,3.8,0,10,0.07740049748508306,8.0,11.6,0.0,0.0,0.0,0.0
드라마,summer,2,male,OST,211,Solo,41,36.0,7.0,0,10,-0.08588951554332135,2.0,10.7,0.0,0.0,0.0,0.0
드라마,spring,10,male,OST,211,Solo,41,25.0,5.8,0,10,0.054730459108946417,10.0,15.1,0.0,0.0,0.0,0.0
드라마,fall,6,male,OST,211,Solo,41,27.0,4.2,0,10,-0.10744855891637953,6.0,8.3,0.0,0.0,0.0,0.0
드라마,winter,8,male,OST,211,Solo,41,33.0,5.6,0,10,0.07740049748508306,6.0,8.2,0.0,0.0,0.0,0.0
드라마,winter,10,male,OST,211,Solo,41,30.0,4.1,0,10,0.07740049748508306,9.0,6.7,0.0,0.0,0.0,0.0
드라마,winter,8,male,OST,211,Solo,41,35.0,4.3,0,10,0.07740049748508306,8.0,11.0,0.0,0.0,0.0,0.0
드라마,winter,8,male,OST,211,Solo,41,27.0,6.2,0,10,0.07740049748508306,8.0,11.5,0.0,0.0,0.0,0.0
드라마,summer,2,male,OST,211,Solo,41,40.0,5.9,0,10,-0.08588951554332135,10.0,6.7,0.0,0.0,0.0,0.0
드라마,fall,4,male,OST,211,Solo,41,20.0,5.9,0,10,-0.10744855891637953,4.0,12.6,0.0,0.0,0.0,0.0
드라마,spring,10,male,OST,211,Solo,41,22.0,5.0,0,10,0.054730459108946417,10.0,5.7,0.0,0.0,0.0,0.0
드라마,summer,2,male,OST,211,Solo,41,25.0,9.3,0,10,-0.08588951554332135,2.0,3.8,0.0,0.0,0.0,0.0
드라마,summer,2,male,OST,211,Solo,41,29.0,7.9,0,10,-0.08588951554332135,2.0,100.0,0.0,0.0,0.0,0.0
드라마,winter,7,male,OST,211,Solo,41,32.0,4.0,0,10,0.07740049748508306,8.0,12.7,0.0,0.0,0.0,0.0
드라마,summer,2,male,OST,211,Solo,41,22.0,5.7,0,10,-0.08588951554332135,2.0,15.1,0.0,0.0,0.0,0.0
드라마,fall,4,male,OST,211,Solo,41,17.0,4.6,0,10,-0.10744855891637953,4.0,4.3,0.0,0.0,0.0,0.0
드라마,fall,5,male,OST,211,Solo,41,27.0,3.5,0,10,-0.10744855891637953,5.0,9.2,0.0,0.0,0.0,0.0
드라마,spring,10,male,OST,211,Solo,41,33.0,6.6,0,10,0.054730459108946417,10.0,27.4,0.0,0.0,0.0,0.0
드라마,summer,10,male,OST,211,Solo,41,27.0,4.9,0,10,-0.08588951554332135,10,12.9,0.0,0.0,0.0,0.0
드라마,fall,5,male,OST,211,Solo,41,28.0,5.0,0,10,-0.10744855891637953,4.0,9.4,0.0,0.0,0.0,0.0
드라마,winter,8,male,OST,211,Solo,41,29.0,4.9,0,10,0.07740049748508306,8.0,28.6,0.0,0.0,0.0,0.0
드라마,fall,5,male,OST,211,Solo,41,56.0,4.2,0,10,-0.10744855891637953,5.0,25.0,0.0,0.0,0.0,0.0
드라마,winter,8,male,OST,211,Solo,41,30.0,3.9,0,10,0.07740049748508306,8.0,10.7,0.0,0.0,0.0,0.0
드라마,winter,9,male,OST,211,Solo,41,33.0,4.4,0,10,0.07740049748508306,8.0,9.2,0.0,0.0,0.0,0.0
드라마,winter,10,male,OST,211,Solo,41,23.0,4.2,0,10,0.07740049748508306,10.0,8.2,0.0,0.0,0.0,0.0
인디,fall,3,male,K_POP,171,Solo,21,41.0,7.2,1800000,9,-0.016796606141946346,2.0,83.7,0.0,0.0,0.0,0.0
인디,fall,2,male,K_POP,171,Solo,21,100.0,8.0,2390000,6,-0.016796606141946346,2.0,27.0,0.0,0.0,0.0,0.0
인디,fall,2,male,K_POP,171,Solo,21,36.0,6.9,4090000,4,-0.016796606141946346,1.0,34.7,0.0,0.0,0.0,0.0
인디,fall,7,male,K_POP,171,Solo,21,22.0,5.0,0,10,-0.016796606141946346,6.0,31.2,0.0,0.0,0.0,0.0
인디,fall,9,male,K_POP,171,Solo,21,18.0,4.5,0,10,-0.016796606141946346,9.0,28.5,0.0,0.0,0.0,0.0
인디,winter,10,male,K_POP,171,Solo,21,23.0,3.0,0,10,0.06463852408098635,9.0,21.7,0.0,0.0,0.0,0.0
인디,fall,6,male,K_POP,171,Solo,21,46.0,5.5,0,10,-0.016796606141946346,5.0,40.2,0.0,0.0,0.0,0.0
인디,summer,2,male,K_POP,171,Solo,21,38.0,11.4,4570000,3,-0.021088710800153197,10,25.1,0.0,0.0,0.0,0.0
인디,winter,10,male,K_POP,171,Solo,21,19.0,3.0,0,10,0.06463852408098635,10.0,34.7,0.0,0.0,0.0,0.0
인디,winter,10,male,K_POP,171,Solo,21,25.0,3.1,0,10,0.06463852408098635,10.0,33.7,0.0,0.0,0.0,0.0
인디,fall,2,male,K_POP,171,Solo,21,39.0,7.8,3190000,5,-0.016796606141946346,2.0,38.3,0.0,0.0,0.0,0.0
인디,winter,10,male,K_POP,171,Solo,21,34.0,3.9,0,10,0.06463852408098635,10.0,24.3,0.0,0.0,0.0,0.0
인디,fall,4,male,K_POP,171,Solo,21,44.0,7.5,1400000,9,-0.016796606141946346,3.0,23.4,0.0,0.0,0.0,0.0
인디,winter,10,male,K_POP,171,Solo,21,6.0,3.6,0,10,0.06463852408098635,10.0,26.6,0.0,0.0,0.0,0.0
인디,fall,2,male,K_POP,171,Solo,21,44.0,6.8,3450000,4,-0.016796606141946346,2.0,46.4,0.0,0.0,0.0,0.0
인디,winter,10,male,K_POP,171,Solo,21,26.0,3.3,0,10,0.06463852408098635,10.0,36.6,0.0,0.0,0.0,0.0
인디,winter,10,male,K_POP,171,Solo,21,41.0,3.2,0,10,0.06463852408098635,10.0,30.3,0.0,0.0,0.0,0.0
인디,fall,5,male,K_POP,171,Solo,21,62.0,5.3,0,10,-0.016796606141946346,4.0,33.0,0.0,0.0,0.0,0.0
인디,winter,10,male,K_POP,171,Solo,21,9.0,2.9,0,10,0.06463852408098635,10.0,26.2,0.0,0.0,0.0,0.0
인디,fall,9,male,K_POP,171,Solo,21,36.0,4.1,0,10,-0.016796606141946346,7.0,28.0,0.0,0.0,0.0,0.0
인디,summer,1,male,K_POP,171,Solo,21,41.0,9.5,4870000,3,-0.021088710800153197,2.0,31.0,0.0,0.0,0.0,0.0
인디,fall,10,male,K_POP,196,Solo,10,25.0,8.8,1870000,9,-0.016796606141946346,10.0,38.0,0.0,0.0,0.0,0.0
