,name,production,distributor,artist,time,score,rank
0,주지마,한국방송공사,카카오 M,"로꼬, 화사",2018.04.22~2018.04.28,70871768,1
1,지나오다,닐로 컴퍼니,퍼플파인 엔터테인먼트,닐로 ,2018.04.22~2018.04.28,42676764,2
2,What is Love?,JYP Entertainment,Dreamus,TWICE,2018.04.22~2018.04.28,40067058,3
3,붕붕 ,Stone Music Entertainment,Stone Music Entertainment,김하온 ,2018.04.22~2018.04.28,37468296,4
4,You,JTBC,인터파크,멜로망스,2018.04.22~2018.04.28,37166962,5
5,사랑을 했다 ,YG Entertainment,지니뮤직,iKON,2018.04.22~2018.04.28,30502332,6
6,별이 빛나는 밤,RBW,카카오 M,마마무 ,2018.04.22~2018.04.28,30214130,7
7,바코드 ,Stone Music Entertainment,Stone Music Entertainment,김하온 ,2018.04.22~2018.04.28,29054684,8
8,꽃 길,YG Entertainment,지니뮤직,빅뱅,2018.04.22~2018.04.28,28780170,9
9,EVERYDAY,YG Entertainment,지니뮤직,WINNER,2018.04.22~2018.04.28,28645741,10
10,뿜뿜,"엠엘디엔터테인먼트, 카카오 M",카카오 M,모모랜드 ,2018.04.22~2018.04.28,25881139,11
11,My Way,"윈드밀이엔티, 뮤직버디",뮤직앤뉴,이수,2018.04.22~2018.04.28,25652021,12
12,그날처럼,리메즈,카카오 M,장덕철,2018.04.22~2018.04.28,24695289,13
13,소나기 ,어라운드 어스,카카오 M,용준형,2018.04.22~2018.04.28,23715811,14
14,욕심,"민트페이퍼, 광합성",카카오 M,멜로망스,2018.04.22~2018.04.28,23462276,15
15,그때 헤어지면 돼,"Stone Music Entertainment, MMO Entertainment",Stone Music Entertainment,로이킴,2018.04.22~2018.04.28,22761890,16
16,전혀 ,Stone Music Entertainment,Stone Music Entertainment,이병재 ,2018.04.22~2018.04.28,22172309,17
17,선물,"민트페이퍼, 광합성",카카오 M,멜로망스,2018.04.22~2018.04.28,20887380,18
18,북 ,Stone Music Entertainment,Stone Music Entertainment,배연서 ,2018.04.22~2018.04.28,19805079,19
19,Roller Coaster,MNH Entertainment,Stone Music Entertainment,청하,2018.04.22~2018.04.28,19763678,20
20,HandClap,Elektra,Warner Music,Fitz & The Tantrums,2018.04.22~2018.04.28,19698580,21
21,"모든 날, 모든 순간 ",SM Entertainment,Dreamus,폴킴,2018.04.22~2018.04.28,17870627,22
22,Jenga ,"Stone Music Entertainment, Studio blu",Stone Music Entertainment,헤이즈 ,2018.04.22~2018.04.28,17767021,23
23,어린 왕자 ,Stone Music Entertainment,Stone Music Entertainment,김하온,2018.04.22~2018.04.28,17709517,24
24,Havana ,Syco Music/Epic,Sony Music,Camila Cabello,2018.04.22~2018.04.28,17617934,25
25,이로한 ,Stone Music Entertainment,Stone Music Entertainment,배연서 ,2018.04.22~2018.04.28,17332268,26
26,花요일 ,SM Entertainment,Dreamus,EXO-CBX ,2018.04.22~2018.04.28,16782074,27
27,비행운,덕선레코드,미러볼뮤직,문문 ,2018.04.22~2018.04.28,16463274,28
28,Bad Boy,SM Entertainment,Dreamus,레드벨벳,2018.04.22~2018.04.28,15824450,29
29,이 별,뮤직웍스,지니뮤직,길구봉구,2018.04.22~2018.04.28,14750228,30
30,BOOMERANG ,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",Stone Music Entertainment,Wanna One ,2018.04.22~2018.04.28,14338867,31
31,눈사람,안테나뮤직,지니뮤직,정승환,2018.04.22~2018.04.28,13743931,32
32,instagram,Joombas Co Ltd & Universal Music,Universal Music,DEAN,2018.04.22~2018.04.28,13645766,33
33,밤이 되니까,냠냠엔터테인먼트,Stone Music Entertainment,펀치 ,2018.04.22~2018.04.28,13488265,34
34,가을 안부,먼데이키즈 컴퍼니,지니뮤직,먼데이 키즈 ,2018.04.22~2018.04.28,13455910,35
35,넋두리,닐로엔터테인먼트,퍼플파인 엔터테인먼트,닐로 ,2018.04.22~2018.04.28,13407260,36
36,탓 ,Stone Music Entertainment,Stone Music Entertainment,이병재 ,2018.04.22~2018.04.28,13336050,37
37,밤편지,"페이브엔터테인먼트,카카오 M",카카오 M,아이유 ,2018.04.22~2018.04.28,13151442,38
38,Heart Shaker,JYP Entertainment,Dreamus,TWICE,2018.04.22~2018.04.28,12776988,39
39,Shape of You,Atlantic Records UK,Warner Music,Ed Sheeran,2018.04.22~2018.04.28,12770616,40
40,좋니,미스틱스토리,카카오 M,윤종신,2018.04.22~2018.04.28,12720743,41
41,그날의 너,울림 엔터테인먼트,카카오 M,러블리즈,2018.04.22~2018.04.28,12562585,42
42,시차 ,AOMG,Stone Music Entertainment,우원재,2018.04.22~2018.04.28,12558887,43
43,비도 오고 그래서 ,Stone Music Entertainment,Stone Music Entertainment,헤이즈 ,2018.04.22~2018.04.28,12441798,44
44,all of my life,메이크어스엔터테인먼트,카카오 M,박원,2018.04.22~2018.04.28,12321144,45
45,EASY ,RBW,카카오 M,휘인,2018.04.22~2018.04.28,11642378,46
46,내가 더 나빠,"Stone Music Entertainment, Studio blu",Stone Music Entertainment,헤이즈 ,2018.04.22~2018.04.28,11434725,47
47,DNA,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018.04.22~2018.04.28,11401908,48
48,눈 떠보니 이별이더라,메이저나인,카카오 M,포맨 ,2018.04.22~2018.04.28,11387692,49
49,LIKEY,JYP Entertainment,Dreamus,TWICE,2018.04.22~2018.04.28,11314757,50
50,#첫사랑,"쇼파르뮤직, 딩고뮤직",카카오 M,볼빨간사춘기,2018.04.22~2018.04.28,11305961,51
51,결혼,Stone Music Entertainment,Stone Music Entertainment,문문 ,2018.04.22~2018.04.28,11047009,52
52,Like It ,Stone Music Entertainment,Stone Music Entertainment,배연서 ,2018.04.22~2018.04.28,10930569,53
53,약속해요 ,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",Stone Music Entertainment,Wanna One ,2018.04.22~2018.04.28,10712304,54
54,빨간 맛 ,SM Entertainment,Dreamus,레드벨벳,2018.04.22~2018.04.28,10706324,55
55,REALLY REALLY,YG Entertainment,지니뮤직,WINNER,2018.04.22~2018.04.28,10645247,56
56,그리워하다,큐브엔터테인먼트,카카오 M,비투비 ,2018.04.22~2018.04.28,10559631,57
57,봄날,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018.04.22~2018.04.28,10524800,58
58,주인공,"메이크어스엔터테인먼트, The Black Label",카카오 M,선미,2018.04.22~2018.04.28,10469949,59
59,"별, 그대 ",How엔터테인먼트,NHN벅스,황치열,2018.04.22~2018.04.28,10370854,60
60,Stand By Your Man,Universal Music,Universal Music,Carla Bruni,2018.04.22~2018.04.28,10311764,61
61,짙어져,스페이스오디티,카카오 M,멜로망스,2018.04.22~2018.04.28,10289324,62
62,There`s Nothing Holdin` Me Back,"Island Records, a division of UMG Recordings, Inc.",Universal Music,Shawn Mendes,2018.04.22~2018.04.28,10136765,63
63,미안해,브랜뉴뮤직,카카오 M,양다일,2018.04.22~2018.04.28,10048692,64
64,Adios ,Stone Music Entertainment,Stone Music Entertainment,김하온 ,2018.04.22~2018.04.28,9996821,65
65,첫눈처럼 너에게 가겠다,"Stone Music Entertainment, 화앤담픽쳐스",Stone Music Entertainment,에일리 ,2018.04.22~2018.04.28,9973699,66
66,달리 ,브리지,NHN벅스,효린,2018.04.22~2018.04.28,9836153,67
67,Beautiful,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",Stone Music Entertainment,Wanna One ,2018.04.22~2018.04.28,9822505,68
68,에너제틱 ,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",Stone Music Entertainment,Wanna One ,2018.04.22~2018.04.28,9806352,69
69,썸 탈꺼야,쇼파르뮤직,카카오 M,볼빨간사춘기,2018.04.22~2018.04.28,9732727,70
70,Thunder,"KIDinaKORNER, Interscope Records",Universal Music,Imagine Dragons,2018.04.22~2018.04.28,9643395,71
71,노력,메이크어스엔터테인먼트,카카오 M,박원,2018.04.22~2018.04.28,9587575,72
72,마지막처럼,YG Entertainment,지니뮤직,BLACKPINK,2018.04.22~2018.04.28,9201109,73
73,기억의 빈자리,"인넥스트트렌드, 롱플레이뮤직",Stone Music Entertainment,나얼,2018.04.22~2018.04.28,8925589,74
74,애쓰지 마요,"Stone Music Entertainment, MMO Entertainment",Stone Music Entertainment,박보람,2018.04.22~2018.04.28,8766442,75
75,나타나줘 ,AOMG,카카오 M,로꼬 ,2018.04.22~2018.04.28,8519004,76
76,좋아,미스틱스토리,Stone Music Entertainment,"윤종신, 민서",2018.04.22~2018.04.28,8316275,77
77,피카부 ,SM Entertainment,Dreamus,레드벨벳,2018.04.22~2018.04.28,8193847,78
78,바람이 불었으면 좋겠어,WS엔터테인먼트,카카오 M,길구봉구,2018.04.22~2018.04.28,7916965,79
79,AIR,YG Entertainment,지니뮤직,WINNER,2018.04.22~2018.04.28,7632137,80
80,Universe,SM Entertainment,Dreamus,EXO,2018.04.22~2018.04.28,7598444,81
81,벚꽃 엔딩,Stone Music Entertainment,Stone Music Entertainment,버스커 버스커 ,2018.04.22~2018.04.28,7523586,82
82,어른,Stone Music Entertainment,Stone Music Entertainment,Sondia,2018.04.22~2018.04.28,7404276,83
83,바보야,플레이엠엔터테인먼트,카카오 M,허각,2018.04.22~2018.04.28,7381544,84
84,Closer ,"Disruptor Records, Columbia",Sony Music,The Chainsmokers,2018.04.22~2018.04.28,7280711,85
85,Young Wave ,Stone Music Entertainment,Stone Music Entertainment,오담률 ,2018.04.22~2018.04.28,7087296,86
86,Graduation ,Stone Music Entertainment,Stone Music Entertainment,김하온 ,2018.04.22~2018.04.28,6977511,87
87,Playdate,SM Entertainment,Dreamus,EXO-CBX ,2018.04.22~2018.04.28,6931175,88
88,폰서트,매직스트로베리사운드,카카오 M,10cm,2018.04.22~2018.04.28,6891099,89
89,비,뉴런뮤직,NHN벅스,폴킴,2018.04.22~2018.04.28,6877568,90
90,"그때의 나, 그때의 우리",메이크어스엔터테인먼트,카카오 M,어반 자카파 ,2018.04.22~2018.04.28,6647354,91
91,나의 사춘기에게,쇼파르뮤직,카카오 M,볼빨간사춘기,2018.04.22~2018.04.28,6553431,92
92,팔레트 ,"페이브엔터테인먼트,카카오 M",카카오 M,아이유 ,2018.04.22~2018.04.28,6448628,93
93,너 없는 시간들,"Stone Music Entertainment, B2M Entertainment",Stone Music Entertainment,다비치,2018.04.22~2018.04.28,6444483,94
94,내일해,바나나컬쳐,Sony Music,EXID,2018.04.22~2018.04.28,6371992,95
95,봄 사랑 벚꽃 말고,엔에이피엔터테인먼트,카카오 M,"HIGH4, 아이유 ",2018.04.22~2018.04.28,6274067,96
96,가시나,"메이크어스엔터테인먼트, The Black Label",카카오 M,선미,2018.04.22~2018.04.28,6173572,97
97,내일 만나 ,SM Entertainment,Dreamus,EXO-CBX ,2018.04.22~2018.04.28,6133719,98
98,Vroom Vroom,SM Entertainment,Dreamus,EXO-CBX ,2018.04.22~2018.04.28,6121737,99
99,괜찮냐고,"Stone Music Entertainment, Studio blu",Stone Music Entertainment,헤이즈 ,2018.04.22~2018.04.28,6115688,100
100,주지마,한국방송공사,카카오 M,"로꼬, 화사",2018.04.29~2018.05.05,56251614,1
101,지나오다,닐로 컴퍼니,퍼플파인 엔터테인먼트,닐로 ,2018.04.29~2018.05.05,40061510,2
102,What is Love?,JYP Entertainment,Dreamus,TWICE,2018.04.29~2018.05.05,37568014,3
103,You,JTBC,인터파크,멜로망스,2018.04.29~2018.05.05,35736267,4
104,별 시 ,글러브엔터테인먼트,Stone Music Entertainment,박효신,2018.04.29~2018.05.05,34769251,5
105,욕심,"민트페이퍼, 광합성",카카오 M,멜로망스,2018.04.29~2018.05.05,33944821,6
106,붕붕 ,Stone Music Entertainment,Stone Music Entertainment,김하온 ,2018.04.29~2018.05.05,33374361,7
107,사랑을 했다 ,YG Entertainment,지니뮤직,iKON,2018.04.29~2018.05.05,30029191,8
108,밤 ,쏘스뮤직,카카오 M,여자친구 ,2018.04.29~2018.05.05,28606419,9
109,별이 빛나는 밤,RBW,카카오 M,마마무 ,2018.04.29~2018.05.05,28508134,10
110,잊을만하면,아메바컬쳐,Stone Music Entertainment,크러쉬 ,2018.04.29~2018.05.05,27256117,11
111,뿜뿜,"엠엘디엔터테인먼트, 카카오 M",카카오 M,모모랜드 ,2018.04.29~2018.05.05,25811750,12
112,꽃 길,YG Entertainment,지니뮤직,빅뱅,2018.04.29~2018.05.05,25683015,13
113,My Way,"윈드밀이엔티, 뮤직버디",뮤직앤뉴,이수,2018.04.29~2018.05.05,24814510,14
114,바코드 ,Stone Music Entertainment,Stone Music Entertainment,김하온 ,2018.04.29~2018.05.05,24802543,15
115,EVERYDAY,YG Entertainment,지니뮤직,WINNER,2018.04.29~2018.05.05,23790977,16
116,그날처럼,리메즈,카카오 M,장덕철,2018.04.29~2018.05.05,23675327,17
117,그때 헤어지면 돼,"Stone Music Entertainment, MMO Entertainment",Stone Music Entertainment,로이킴,2018.04.29~2018.05.05,21744959,18
118,소나기 ,어라운드 어스,카카오 M,용준형,2018.04.29~2018.05.05,21633995,19
119,선물,"민트페이퍼, 광합성",카카오 M,멜로망스,2018.04.29~2018.05.05,20092052,20
120,Roller Coaster,MNH Entertainment,Stone Music Entertainment,청하,2018.04.29~2018.05.05,19667287,21
121,HandClap,Elektra,Warner Music,Fitz & The Tantrums,2018.04.29~2018.05.05,19422006,22
122,전혀 ,Stone Music Entertainment,Stone Music Entertainment,이병재 ,2018.04.29~2018.05.05,18017020,23
123,북 ,Stone Music Entertainment,Stone Music Entertainment,배연서 ,2018.04.29~2018.05.05,17809197,24
124,Havana ,Syco Music/Epic,Sony Music,Camila Cabello,2018.04.29~2018.05.05,17530448,25
125,"모든 날, 모든 순간 ",SM Entertainment,Dreamus,폴킴,2018.04.29~2018.05.05,17365045,26
126,Jenga ,"Stone Music Entertainment, Studio blu",Stone Music Entertainment,헤이즈 ,2018.04.29~2018.05.05,16179262,27
127,비행운,덕선레코드,미러볼뮤직,문문 ,2018.04.29~2018.05.05,15922036,28
128,어린 왕자 ,Stone Music Entertainment,Stone Music Entertainment,김하온,2018.04.29~2018.05.05,15863186,29
129,花요일 ,SM Entertainment,Dreamus,EXO-CBX ,2018.04.29~2018.05.05,15248456,30
130,Bad Boy,SM Entertainment,Dreamus,레드벨벳,2018.04.29~2018.05.05,15221082,31
131,이 별,뮤직웍스,지니뮤직,길구봉구,2018.04.29~2018.05.05,14134661,32
132,이로한 ,Stone Music Entertainment,Stone Music Entertainment,배연서 ,2018.04.29~2018.05.05,13591458,33
133,넋두리,닐로엔터테인먼트,퍼플파인 엔터테인먼트,닐로 ,2018.04.29~2018.05.05,13545568,34
134,가을 안부,먼데이키즈 컴퍼니,지니뮤직,먼데이 키즈 ,2018.04.29~2018.05.05,13441152,35
135,My Paradise ,H1GHR MUSIC,카카오 M,GroovyRoom ,2018.04.29~2018.05.05,13429600,36
136,BOOMERANG ,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",Stone Music Entertainment,Wanna One ,2018.04.29~2018.05.05,13412739,37
137,instagram,Joombas Co Ltd & Universal Music,Universal Music,DEAN,2018.04.29~2018.05.05,13200856,38
138,밤이 되니까,냠냠엔터테인먼트,Stone Music Entertainment,펀치 ,2018.04.29~2018.05.05,13028452,39
139,밤편지,"페이브엔터테인먼트,카카오 M",카카오 M,아이유 ,2018.04.29~2018.05.05,12981884,40
140,눈사람,안테나뮤직,지니뮤직,정승환,2018.04.29~2018.05.05,12962123,41
141,Shape of You,Atlantic Records UK,Warner Music,Ed Sheeran,2018.04.29~2018.05.05,12927477,42
142,Heart Shaker,JYP Entertainment,Dreamus,TWICE,2018.04.29~2018.05.05,12845957,43
143,좋니,미스틱스토리,카카오 M,윤종신,2018.04.29~2018.05.05,12327375,44
144,시차 ,AOMG,Stone Music Entertainment,우원재,2018.04.29~2018.05.05,12317708,45
145,all of my life,메이크어스엔터테인먼트,카카오 M,박원,2018.04.29~2018.05.05,11883651,46
146,비도 오고 그래서 ,Stone Music Entertainment,Stone Music Entertainment,헤이즈 ,2018.04.29~2018.05.05,11695472,47
147,DNA,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018.04.29~2018.05.05,11597536,48
148,LIKEY,JYP Entertainment,Dreamus,TWICE,2018.04.29~2018.05.05,11383264,49
149,탓 ,Stone Music Entertainment,Stone Music Entertainment,이병재 ,2018.04.29~2018.05.05,11179681,50
150,눈 떠보니 이별이더라,메이저나인,카카오 M,포맨 ,2018.04.29~2018.05.05,11086685,51
151,결혼,Stone Music Entertainment,Stone Music Entertainment,문문 ,2018.04.29~2018.05.05,11008890,52
152,빨간 맛 ,SM Entertainment,Dreamus,레드벨벳,2018.04.29~2018.05.05,10995423,53
153,REALLY REALLY,YG Entertainment,지니뮤직,WINNER,2018.04.29~2018.05.05,10927412,54
154,#첫사랑,"쇼파르뮤직, 딩고뮤직",카카오 M,볼빨간사춘기,2018.04.29~2018.05.05,10802601,55
155,봄날,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018.04.29~2018.05.05,10517911,56
156,내가 더 나빠,"Stone Music Entertainment, Studio blu",Stone Music Entertainment,헤이즈 ,2018.04.29~2018.05.05,10365522,57
157,주인공,"메이크어스엔터테인먼트, The Black Label",카카오 M,선미,2018.04.29~2018.05.05,10264363,58
158,미안해,브랜뉴뮤직,카카오 M,양다일,2018.04.29~2018.05.05,10252508,59
159,그리워하다,큐브엔터테인먼트,카카오 M,비투비 ,2018.04.29~2018.05.05,10168564,60
160,There`s Nothing Holdin` Me Back,"Island Records, a division of UMG Recordings, Inc.",Universal Music,Shawn Mendes,2018.04.29~2018.05.05,10055325,61
161,짙어져,스페이스오디티,카카오 M,멜로망스,2018.04.29~2018.05.05,10029901,62
162,약속해요 ,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",Stone Music Entertainment,Wanna One ,2018.04.29~2018.05.05,9875608,63
163,첫눈처럼 너에게 가겠다,"Stone Music Entertainment, 화앤담픽쳐스",Stone Music Entertainment,에일리 ,2018.04.29~2018.05.05,9826185,64
164,Thunder,"KIDinaKORNER, Interscope Records",Universal Music,Imagine Dragons,2018.04.29~2018.05.05,9806217,65
165,에너제틱 ,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",Stone Music Entertainment,Wanna One ,2018.04.29~2018.05.05,9743817,66
166,Like It ,Stone Music Entertainment,Stone Music Entertainment,배연서 ,2018.04.29~2018.05.05,9636917,67
167,썸 탈꺼야,쇼파르뮤직,카카오 M,볼빨간사춘기,2018.04.29~2018.05.05,9573878,68
168,마지막처럼,YG Entertainment,지니뮤직,BLACKPINK,2018.04.29~2018.05.05,9464676,69
169,Beautiful,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",Stone Music Entertainment,Wanna One ,2018.04.29~2018.05.05,9404185,70
170,노력,메이크어스엔터테인먼트,카카오 M,박원,2018.04.29~2018.05.05,9339203,71
171,Stand By Your Man,Universal Music,Universal Music,Carla Bruni,2018.04.29~2018.05.05,9002992,72
172,EASY ,RBW,카카오 M,휘인,2018.04.29~2018.05.05,8871809,73
173,애쓰지 마요,"Stone Music Entertainment, MMO Entertainment",Stone Music Entertainment,박보람,2018.04.29~2018.05.05,8618297,74
174,Adios ,Stone Music Entertainment,Stone Music Entertainment,김하온 ,2018.04.29~2018.05.05,8606668,75
175,어른,Stone Music Entertainment,Stone Music Entertainment,Sondia,2018.04.29~2018.05.05,8552389,76
176,기억의 빈자리,"인넥스트트렌드, 롱플레이뮤직",Stone Music Entertainment,나얼,2018.04.29~2018.05.05,8314189,77
177,나타나줘 ,AOMG,카카오 M,로꼬 ,2018.04.29~2018.05.05,8016654,78
178,피카부 ,SM Entertainment,Dreamus,레드벨벳,2018.04.29~2018.05.05,8000289,79
179,"별, 그대 ",How엔터테인먼트,NHN벅스,황치열,2018.04.29~2018.05.05,7862052,80
180,그날의 너,울림 엔터테인먼트,카카오 M,러블리즈,2018.04.29~2018.05.05,7795861,81
181,바람이 불었으면 좋겠어,WS엔터테인먼트,카카오 M,길구봉구,2018.04.29~2018.05.05,7741209,82
182,Universe,SM Entertainment,Dreamus,EXO,2018.04.29~2018.05.05,7680721,83
183,좋아,미스틱스토리,Stone Music Entertainment,"윤종신, 민서",2018.04.29~2018.05.05,7524592,84
184,빛나리,큐브엔터테인먼트,카카오 M,펜타곤 ,2018.04.29~2018.05.05,7478379,85
185,달리 ,브리지,NHN벅스,효린,2018.04.29~2018.05.05,7218845,86
186,Closer ,"Disruptor Records, Columbia",Sony Music,The Chainsmokers,2018.04.29~2018.05.05,7140558,87
187,AIR,YG Entertainment,지니뮤직,WINNER,2018.04.29~2018.05.05,7000403,88
188,뒤집어버려,AOMG,카카오 M,"박재범,사이먼 도미닉 ",2018.04.29~2018.05.05,6882503,89
189,폰서트,매직스트로베리사운드,카카오 M,10cm,2018.04.29~2018.05.05,6843557,90
190,바보야,플레이엠엔터테인먼트,카카오 M,허각,2018.04.29~2018.05.05,6674259,91
191,Playdate,SM Entertainment,Dreamus,EXO-CBX ,2018.04.29~2018.05.05,6343556,92
192,팔레트 ,"페이브엔터테인먼트,카카오 M",카카오 M,아이유 ,2018.04.29~2018.05.05,6308716,93
193,비,뉴런뮤직,NHN벅스,폴킴,2018.04.29~2018.05.05,6258424,94
194,벚꽃 엔딩,Stone Music Entertainment,Stone Music Entertainment,버스커 버스커 ,2018.04.29~2018.05.05,6183314,95
195,나의 사춘기에게,쇼파르뮤직,카카오 M,볼빨간사춘기,2018.04.29~2018.05.05,6160792,96
196,우리 둘만 아는,센토엔터테인먼트,지니뮤직,윤건,2018.04.29~2018.05.05,6097741,97
197,가시나,"메이크어스엔터테인먼트, The Black Label",카카오 M,선미,2018.04.29~2018.05.05,6023178,98
198,"그때의 나, 그때의 우리",메이크어스엔터테인먼트,카카오 M,어반 자카파 ,2018.04.29~2018.05.05,6019862,99
199,고민보다 Go,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018.04.29~2018.05.05,5982479,100
200,주지마,한국방송공사,카카오 M,"로꼬, 화사",2018.05.06~2018.05.12,47592596,1
201,지나오다,닐로 컴퍼니,퍼플파인 엔터테인먼트,닐로 ,2018.05.06~2018.05.12,37282709,2
202,잊을만하면,아메바컬쳐,Stone Music Entertainment,크러쉬 ,2018.05.06~2018.05.12,35755320,3
203,You,JTBC,인터파크,멜로망스,2018.05.06~2018.05.12,33343638,4
204,What is Love?,JYP Entertainment,Dreamus,TWICE,2018.05.06~2018.05.12,32233526,5
205,밤 ,쏘스뮤직,카카오 M,여자친구 ,2018.05.06~2018.05.12,28488642,6
206,붕붕 ,Stone Music Entertainment,Stone Music Entertainment,김하온 ,2018.05.06~2018.05.12,28189663,7
207,사랑을 했다 ,YG Entertainment,지니뮤직,iKON,2018.05.06~2018.05.12,27131234,8
208,별이 빛나는 밤,RBW,카카오 M,마마무 ,2018.05.06~2018.05.12,24806153,9
209,욕심,"민트페이퍼, 광합성",카카오 M,멜로망스,2018.05.06~2018.05.12,24373897,10
210,뿜뿜,"엠엘디엔터테인먼트, 카카오 M",카카오 M,모모랜드 ,2018.05.06~2018.05.12,23497798,11
211,My Way,"윈드밀이엔티, 뮤직버디",뮤직앤뉴,이수,2018.05.06~2018.05.12,23301060,12
212,그날처럼,리메즈,카카오 M,장덕철,2018.05.06~2018.05.12,22122358,13
213,꽃 길,YG Entertainment,지니뮤직,빅뱅,2018.05.06~2018.05.12,21748273,14
214,그때 헤어지면 돼,"Stone Music Entertainment, MMO Entertainment",Stone Music Entertainment,로이킴,2018.05.06~2018.05.12,20505271,15
215,바코드 ,Stone Music Entertainment,Stone Music Entertainment,김하온 ,2018.05.06~2018.05.12,20476522,16
216,EVERYDAY,YG Entertainment,지니뮤직,WINNER,2018.05.06~2018.05.12,20462305,17
217,소나기 ,어라운드 어스,카카오 M,용준형,2018.05.06~2018.05.12,20142615,18
218,선물,"민트페이퍼, 광합성",카카오 M,멜로망스,2018.05.06~2018.05.12,18462155,19
219,Roller Coaster,MNH Entertainment,Stone Music Entertainment,청하,2018.05.06~2018.05.12,17934070,20
220,HandClap,Elektra,Warner Music,Fitz & The Tantrums,2018.05.06~2018.05.12,17745415,21
221,"모든 날, 모든 순간 ",SM Entertainment,Dreamus,폴킴,2018.05.06~2018.05.12,16796737,22
222,Havana ,Syco Music/Epic,Sony Music,Camila Cabello,2018.05.06~2018.05.12,15965532,23
223,북 ,Stone Music Entertainment,Stone Music Entertainment,배연서 ,2018.05.06~2018.05.12,15227494,24
224,전혀 ,Stone Music Entertainment,Stone Music Entertainment,이병재 ,2018.05.06~2018.05.12,14674592,25
225,비행운,덕선레코드,미러볼뮤직,문문 ,2018.05.06~2018.05.12,14566772,26
226,별 시 ,글러브엔터테인먼트,Stone Music Entertainment,박효신,2018.05.06~2018.05.12,14452057,27
227,Jenga ,"Stone Music Entertainment, Studio blu",Stone Music Entertainment,헤이즈 ,2018.05.06~2018.05.12,14067735,28
228,넋두리,닐로엔터테인먼트,퍼플파인 엔터테인먼트,닐로 ,2018.05.06~2018.05.12,13735562,29
229,어린 왕자 ,Stone Music Entertainment,Stone Music Entertainment,김하온,2018.05.06~2018.05.12,13530838,30
230,Bad Boy,SM Entertainment,Dreamus,레드벨벳,2018.05.06~2018.05.12,13352734,31
231,이 별,뮤직웍스,지니뮤직,길구봉구,2018.05.06~2018.05.12,12992547,32
232,花요일 ,SM Entertainment,Dreamus,EXO-CBX ,2018.05.06~2018.05.12,12872096,33
233,가을 안부,먼데이키즈 컴퍼니,지니뮤직,먼데이 키즈 ,2018.05.06~2018.05.12,12832751,34
234,LATATA,큐브엔터테인먼트,카카오 M,(여자)아이들,2018.05.06~2018.05.12,12149754,35
235,Shape of You,Atlantic Records UK,Warner Music,Ed Sheeran,2018.05.06~2018.05.12,12033536,36
236,밤편지,"페이브엔터테인먼트,카카오 M",카카오 M,아이유 ,2018.05.06~2018.05.12,12019933,37
237,instagram,Joombas Co Ltd & Universal Music,Universal Music,DEAN,2018.05.06~2018.05.12,12001866,38
238,무슨 말이 필요해 ,어라운드 어스,카카오 M,용준형,2018.05.06~2018.05.12,11872342,39
239,밤이 되니까,냠냠엔터테인먼트,Stone Music Entertainment,펀치 ,2018.05.06~2018.05.12,11869447,40
240,눈사람,안테나뮤직,지니뮤직,정승환,2018.05.06~2018.05.12,11821161,41
241,BOOMERANG ,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",Stone Music Entertainment,Wanna One ,2018.05.06~2018.05.12,11676710,42
242,빛나리,큐브엔터테인먼트,카카오 M,펜타곤 ,2018.05.06~2018.05.12,11547448,43
243,Heart Shaker,JYP Entertainment,Dreamus,TWICE,2018.05.06~2018.05.12,11524591,44
244,비도 오고 그래서 ,Stone Music Entertainment,Stone Music Entertainment,헤이즈 ,2018.05.06~2018.05.12,11409182,45
245,좋니,미스틱스토리,카카오 M,윤종신,2018.05.06~2018.05.12,11337825,46
246,시차 ,AOMG,Stone Music Entertainment,우원재,2018.05.06~2018.05.12,11180125,47
247,DNA,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018.05.06~2018.05.12,11161775,48
248,all of my life,메이크어스엔터테인먼트,카카오 M,박원,2018.05.06~2018.05.12,11056703,49
249,이로한 ,Stone Music Entertainment,Stone Music Entertainment,배연서 ,2018.05.06~2018.05.12,10728157,50
250,결혼,Stone Music Entertainment,Stone Music Entertainment,문문 ,2018.05.06~2018.05.12,10437030,51
251,LIKEY,JYP Entertainment,Dreamus,TWICE,2018.05.06~2018.05.12,10336417,52
252,봄날,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018.05.06~2018.05.12,10318178,53
253,REALLY REALLY,YG Entertainment,지니뮤직,WINNER,2018.05.06~2018.05.12,10122659,54
